Context,Question,Temperature,Method,Image_Path,Output,Actual
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,0.png,False,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,10.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1000.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1001.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1004.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1006.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1008.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1009.png,True,6
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1013.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,102.png,False,13
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1025.png,False,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1026.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1028.png,True,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1029.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,103.png,False,6
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1030.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1031.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1033.png,True,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1034.png,True,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1042.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1043.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1045.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1047.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1049.png,True,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1050.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1051.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1053.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1054.png,True,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1055.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1057.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1058.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1059.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1069.png,False,5
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,107.png,False,18
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1070.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1073.png,True,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1074.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,108.png,True,47
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1086.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1088.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1089.png,True,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,109.png,False,61
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1090.png,True,7
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1092.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1093.png,False,14
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1094.png,False,17
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,11.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,110.png,True,57
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1100.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1101.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1102.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1103.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1105.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1106.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1109.png,True,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,111.png,True,26
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1110.png,False,7
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1111.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1113.png,True,10
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1114.png,True,15
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1115.png,True,11
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1116.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1117.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,112.png,True,82
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1125.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1129.png,True,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,113.png,True,92
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1130.png,True,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1131.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1133.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1134.png,True,8
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1135.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1136.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,114.png,False,68
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1142.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1143.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1146.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1147.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1149.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,115.png,False,23
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1150.png,True,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1151.png,True,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1153.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1154.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1158.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1159.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,116.png,False,32
