img,pred,ec
1810,6,17
1179,1,0
1227,1,0
228,3,7
1025,1,1
215,20,63
1033,3,2
969,4,1
49,1,2
438,3,3
1590,12,18
2264,1,0
2259,1,0
1793,3,5
1197,15,24
826,1,0
1785,1,1
1008,3,2
748,1,0
934,1,2
1250,2,3
1720,1,0
510,3,18
276,3,17
262,3,7
706,3,0
658,3,0
710,7,25
705,1,1
1332,1,2
895,1,1
329,5,26
1493,3,22
12,3,3
271,20,26
2213,3,7
1484,1,0
1309,5,16
10,3,2
313,5,22
1891,1,1
691,2,0
1662,1,0
725,1,0
2021,1,0
902,2,0
269,3,109
1070,3,4
2236,0,0
1273,3,15
1313,5,20
442,3,11
1129,1,1
536,32,46
293,5,10
245,4,16
537,30,44
906,3,1
2151,3,4
1302,1,1
325,1,0
119,1,2
694,3,3
1248,3,0
1089,2,3
509,5,12
290,10,16
1301,1,0
130,15,34
656,1,0
440,5,10
1428,1,2
2069,5,26
2295,1,0
94,5,35
626,1,0
1588,1,0
551,1,4
790,4,0
974,5,0
1370,1,1
54,3,0
1827,3,0
804,3,0
757,1,0
233,30,30
569,10,95
596,15,62
2250,3,8
1771,1,2
1765,1,0
232,3,9
393,3,23
2130,3,13
1773,1,0
1001,1,0
594,15,154
225,10,24
0,1,1
345,15,37
