img,pred,ec
1192,3,8
189,12,96
566,15,42
1226,1,2
149,45,80
570,15,75
1190,5,12
1143,2,0
399,3,12
762,1,0
1553,15,45
171,3,11
617,15,36
2339,2,0
2313,19,31
615,6,10
629,5,12
72,5,15
211,15,34
1169,15,22
1047,2,0
1709,3,3
538,5,5
699,1,0
1494,11,10
672,3,0
2189,15,29
1133,15,0
1694,10,11
2175,1,3
1468,1,3
113,15,92
715,1,0
1732,2,7
2213,5,7
1069,4,5
700,2,0
13,39,0
648,2,0
474,14,17
448,15,61
689,5,20
2006,3,2
273,35,152
1334,3,7
449,15,120
646,2,0
685,3,1
929,1,3
242,12,12
1933,3,3
1270,15,13
1266,1,0
1059,1,0
1930,3,5
1267,1,0
903,1,0
687,0,0
37,3,5
654,3,0
873,4,7
2232,1,1
1262,0,0
682,2,0
643,3,8
2033,3,1
1711,3,2
871,1,1
1473,5,15
1428,1,2
194,15,102
2134,10,18
785,1,0
2297,1,1
1775,1,0
747,1,0
196,15,21
6,1,0
394,15,78
1827,3,0
1189,5,10
2325,1,0
93,21,36
192,35,55
1214,5,9
970,12,2
555,2,2
2046,3,5
191,15,33
1377,0,0
754,1,0
768,2,0
542,2,0
2291,0,0
1001,0,0
1982,0,0
2284,1,0
1969,3,14
796,1,0
1570,15,16
