img,pred,ec
1637,1,10
837,2,0
1233,1,4
1970,1,8
1031,1,3
215,12,63
2049,1,24
388,1,12
834,1,3
767,1,0
2248,1,0
969,1,1
835,0,0
438,3,3
1180,1,0
1793,1,5
2113,1,7
70,4,13
824,1,1
1426,1,4
1381,1,0
1430,37,36
8,2,2
2139,1,0
1550,1,14
205,1,1
1394,1,9
1814,1,14
1053,1,0
699,0,0
672,0,0
1131,1,0
704,0,0
274,37,68
1051,0,0
1722,1,6
1332,1,2
315,1,11
1134,11,8
1444,1,0
517,37,42
270,1,25
13,35,0
1337,1,4
890,1,2
1848,1,1
662,1,0
138,1,7
1731,7,10
515,1,22
1297,1,0
1485,1,8
1888,1,0
1846,1,4
1649,12,14
652,1,10
685,1,1
295,1,11
2235,5,8
309,37,28
725,1,0
1449,1,4
1893,1,2
495,1,5
1129,1,1
1074,1,0
245,1,16
133,3,26
641,1,7
1102,0,0
131,1,17
2190,1,10
2153,1,9
246,1,70
736,1,1
1329,3,15
369,11,11
591,1,14
546,1,38
977,1,0
94,1,35
1159,1,0
395,37,43
2042,0,0
949,1,2
544,1,8
545,18,73
790,1,0
1837,0,0
192,11,55
1994,3,8
2046,3,5
795,1,0
2330,1,3
620,1,0
90,1,16
2130,1,13
1983,1,2
1558,1,6
812,0,0
