img,pred,ec
1637,5,10
770,2,3
228,5,7
765,2,0
1150,2,3
2317,5,12
388,12,12
1230,1,1
2249,5,16
1754,12,12
766,3,0
1988,1,2
1750,12,24
549,15,102
58,2,0
373,15,10
615,5,10
1593,12,18
2110,19,32
9,15,2
1394,4,9
1169,19,22
14,3,0
276,5,17
470,5,5
328,3,0
1694,5,11
1327,1,0
704,2,0
248,12,60
1910,12,12
1092,1,0
1051,1,0
2149,1,3
675,1,0
1450,3,5
271,15,26
700,2,0
892,1,1
702,1,0
925,2,1
266,12,22
298,4,5
930,4,7
478,2,3
108,35,47
134,24,20
914,4,0
733,1,1
653,15,23
447,12,33
1886,2,0
490,15,57
916,1,6
903,1,0
23,0,0
1893,3,2
245,5,16
641,1,7
331,5,15
469,16,33
496,3,7
643,3,8
858,1,0
2153,6,9
247,22,64
253,1,116
871,1,1
369,14,11
625,1,0
745,1,0
235,17,25
1992,1,2
744,1,0
829,25,0
544,3,8
633,3,3
1628,0,0
343,0,0
409,15,32
145,14,30
44,1,0
743,2,4
2047,1,0
2250,5,8
226,15,29
795,1,0
811,0,0
45,3,2
636,1,0
2324,1,0
2326,2,0
84,1,1
191,12,33
2285,2,0
1772,1,0
1558,3,6
782,1,0
806,1,3
1376,0,0
