,image,num_nuclei,num_chromosomes,num_ecDNA,agg_results
0,0.tif,2,1,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
1,1.tif,4,1,3,"['{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 10\n}', '{\n""ecDNA"": 10\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": 0\n}']"
2,10.tif,1,6,2,"['```json\n[{""ecDNA"": 3}]\n```', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
3,1000.tif,3,4,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}']"
4,1001.tif,1,0,0,"['```json\n{\n  ""ecDNA"": 3\n}\n```', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n  ""ecDNA"": 1\n}', '{\n""ecDNA"": 4\n}', '{\n    ""ecDNA"": 3\n}']"
5,1004.tif,1,2,3,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA_count"":2}', '{\n  ""ecDNA"": 10\n}', '{\n""ecDNA"": 0\n}']"
6,1006.tif,0,2,0,"['{\n  ""ecDNA_count"": 5\n}', '{\n    ""ecDNA"": 5\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 5\n}']"
7,1008.tif,0,7,2,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 5\n}']"
8,1009.tif,0,21,6,"['{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 5\n}']"
9,1013.tif,0,17,3,"['{\n    ""ecDNA"": 3\n}', '```json\n[10]\n```', '{\n""ecDNA"": 1\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA_count"":3}']"
10,102.tif,1,0,13,"['{\n    ""ecDNA"": 10\n}', '{\n  ""ecDNA"": {\n    ""count"": 20486369,\n    ""description"": ""Circular structures in cell images.""\n  }\n}', '{\n  ""ecDNA"": 2\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
11,1025.tif,0,8,1,"['{\n  ""ecDNA"": 10\n}', '{""ecDNA"": 4}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 4\n}', '{\n""ecDNA"": 0\n}']"
12,1026.tif,0,9,2,"['{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n  ""ecDNA"": 3\n}']"
13,1028.tif,0,3,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA"": 3}']"
14,1029.tif,0,11,2,"['{""ecDNA_count"": 3}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
15,103.tif,1,0,6,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
16,1030.tif,0,9,2,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": ""3""}', '{""ecDNA"": 3}']"
17,1031.tif,3,7,3,"['{\n  ""ecDNA"": 1\n}', '{\n    ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '```json\n[\n    3\n]\n```']"
18,1033.tif,0,6,2,"['{\n    ""ecDNA"": 5\n}', '{""ecDNA"": {""count"": 2}}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
19,1034.tif,0,15,4,"['{""ecDNA"": 1}', '{\n  ""ecDNA"": {\n    ""count"": 5\n  }\n}', '{\n  ""ecDNA"": 0\n}', '```json\n[\n  {\n    ""ecDNA"": 3\n  }\n]\n```', '{\n  ""ecDNA"": 3\n}']"
20,1042.tif,2,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
21,1043.tif,1,0,0,"['{\n""ecDNA"": 10\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 4\n}', '{\n""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}']"
22,1045.tif,0,4,0,"['{\n  ""ecDNA"": {\n    ""count"": 1\n  }\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}']"
23,1047.tif,2,0,0,"['{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 4\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
24,1049.tif,0,25,4,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 50\n}', '{\n  ""ecDNA_count"": 5\n}', '{\n""ecDNA"": 3\n}']"
25,1050.tif,0,16,0,"['{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
26,1051.tif,1,0,0,"['{""ecDNA"": 4}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
27,1053.tif,1,7,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}']"
28,1054.tif,1,13,2,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 0\n}', '{""ecDNA"": ""1""}', '{\n  ""ecDNA"": 3\n}']"
29,1055.tif,2,0,0,"['```json\n[{""ecDNA"": 0}]\n```', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 4\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}']"
30,1057.tif,2,0,0,"['{\n""ecDNA"": 1\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}']"
31,1058.tif,2,0,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 3\n}', '```json\n[3]\n```', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
32,1059.tif,1,0,0,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
33,1069.tif,0,9,5,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 2\n}']"
34,107.tif,0,4,18,"['{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 5\n}', '{""ecDNA"": 0}', '{\n  ""ecDNA"": 3\n}']"
