,image,num_nuclei,num_chromosomes,num_ecDNA,context_message
0,0.tif,2,1,1,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}']"
1,1.tif,4,1,3,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA_count"": 1\n}']"
2,10.tif,1,6,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
3,1000.tif,3,4,2,"['{""ecDNA"": 5}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
4,1001.tif,1,0,0,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
5,1004.tif,1,2,3,"['{""ecDNA"": 4}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
6,1006.tif,0,2,0,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
7,1008.tif,0,7,2,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA_count"":2}']"
8,1009.tif,0,21,6,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""count"": 3\n}', '{""ecDNA"": 0}']"
9,1013.tif,0,17,3,"['{""ecDNA"": 0}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
10,102.tif,1,0,13,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 2}']"
11,1025.tif,0,8,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
12,1026.tif,0,9,2,"['{""ecDNA"": 5}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 10\n}']"
13,1028.tif,0,3,1,"['{""ecDNA"": 0}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
14,1029.tif,0,11,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
15,103.tif,1,0,6,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
16,1030.tif,0,9,2,"['{\n""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
17,1031.tif,3,7,3,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
18,1033.tif,0,6,2,"['{""ecDNA"": 2}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
19,1034.tif,0,15,4,"['{\n  ""ecDNA_count"": 1\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
20,1042.tif,2,0,0,"['{""ecDNA_count"": 2}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}']"
21,1043.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 0\n}']"
22,1045.tif,0,4,0,"['{""ecDNA"": 2}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 1\n}']"
23,1047.tif,2,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
24,1049.tif,0,25,4,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}']"
25,1050.tif,0,16,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 3\n}', '{""ecDNA_count"":2}']"
26,1051.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
27,1053.tif,1,7,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n""ecDNA"": 0\n}']"
28,1054.tif,1,13,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
29,1055.tif,2,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
30,1057.tif,2,0,0,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
31,1058.tif,2,0,0,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 2\n}']"
32,1059.tif,1,0,0,"['{""ecDNA_count"":3}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 2}']"
33,1069.tif,0,9,5,"['{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
34,107.tif,0,4,18,"['{""ecDNA"": 2}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
35,1070.tif,1,4,4,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
36,1073.tif,0,17,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
37,1074.tif,5,21,0,"['{""ecDNA"": 2}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
38,108.tif,0,2,47,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
39,1086.tif,0,2,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
40,1088.tif,1,1,0,"['{""ecDNA"": 4}', '{\n  ""count"": 2\n}', '{\n""ecDNA"": 2\n}']"
41,1089.tif,0,16,3,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
42,109.tif,0,10,62,"['{""ecDNA"": 3}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
43,1090.tif,0,25,7,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
44,1092.tif,1,1,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
45,1093.tif,0,13,14,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA_count"": 1\n}']"
46,1094.tif,0,11,17,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
47,11.tif,2,0,0,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
48,110.tif,0,8,57,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
49,1100.tif,1,0,0,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
50,1101.tif,3,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
51,1102.tif,2,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 2\n}', '{\n""ecDNA_count"": 2\n}']"
52,1103.tif,2,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
53,1105.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
54,1106.tif,2,0,2,"['{""ecDNA_count"":2}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 10\n}']"
55,1109.tif,0,12,3,"['{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
56,111.tif,0,2,26,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
57,1110.tif,1,15,7,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
58,1111.tif,0,2,4,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
59,1113.tif,0,8,10,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
60,1114.tif,0,25,15,"['{\n""ecDNA_count"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
61,1115.tif,0,6,11,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}']"
62,1116.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 3\n}']"
63,1117.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 3\n}']"
64,112.tif,0,19,82,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 10\n}', '{\n  ""ecDNA"": 2\n}']"
65,1125.tif,2,0,0,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
66,1129.tif,2,7,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 2\n}']"
67,113.tif,0,21,92,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
68,1130.tif,1,16,3,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 1\n}']"
69,1131.tif,1,1,0,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
70,1133.tif,0,11,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
71,1134.tif,0,30,8,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
72,1135.tif,0,5,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 1\n}']"
73,1136.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
74,114.tif,0,15,68,"['{\n""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
75,1142.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 2\n}']"
76,1143.tif,2,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA_count"": 1}']"
77,1146.tif,0,0,0,"['{""ecDNA_count"": 2}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
78,1147.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 2\n}']"
79,1149.tif,0,1,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
80,115.tif,0,5,23,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
81,1150.tif,0,47,3,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
82,1151.tif,0,2,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 0\n}']"
83,1153.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 3\n}']"
84,1154.tif,1,13,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
85,1158.tif,1,0,2,"['{""ecDNA"": 3}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 2\n}']"
86,1159.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
87,116.tif,0,6,32,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 0\n}']"
88,1161.tif,1,0,1,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
