image_name,# of ecDNA (DAPI),# of ecDNA (green),# of ecDNA (red),# of ecDNA (DAPI and green),# of ecDNA (DAPI and red),# of ecDNA (red and green),# of ecDNA (DAPI and red and green),# of HSR (red),# of HSR (green)
2343.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2344.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2345.tif,"(0, 0.0)","(1, 1)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2346.tif,"(0, 0.0)","(0, 0.0)","(1, 12)",0.0,0.0,0.0,0.0,1.0,0.0
2347.tif,"(1, 26)","(0, 0.0)","(2, 16)",0.0,0.0,0.0,0.0,1.0,0.0
2349.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,1.0
2350.tif,"(2, 103)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,1.0,0.0
2351.tif,"(1, 37)","(1, 1)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,1.0
2354.tif,"(3, 81)","(1, 17)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2355.tif,"(0, 0.0)","(0, 0.0)","(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
2356.tif,"(1, 12)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2357.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2358.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2359.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2360.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2363.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2364.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2365.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2366.tif,"(0, 0.0)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
2367.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2368.tif,"(2, 136)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
2369.tif,"(3, 120)","(0, 0.0)","(2, 40)",0.0,0.0,0.0,0.0,2.0,0.0
